Set1 (name),Set2 (borders),Set3 (location),answers
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,In the Americas,2
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,Landlocked (no sea coastline),4
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,Island nation (no land borders),1
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,Borders one or two countries,5
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,Lies entirely south of the equator,2
Name starts with a vowel (A/E/I/O/U),Name has 6 or 7 letters,In Asia,2
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,In the Americas,4
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,Landlocked (no sea coastline),3
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,Island nation (no land borders),2
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,Borders one or two countries,5
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,Lies entirely south of the equator,2
Name starts with a vowel (A/E/I/O/U),Name has 9 letters or more,In Asia,5
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,In the Americas,1
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,Landlocked (no sea coastline),2
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,Island nation (no land borders),1
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,Borders one or two countries,1
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,Lies entirely south of the equator,3
Name starts with a vowel (A/E/I/O/U),Name has 8 or 9 letters,In Asia,1
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,In the Americas,2
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,Landlocked (no sea coastline),5
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,Island nation (no land borders),1
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,Borders one or two countries,6
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,Lies entirely south of the equator,2
Name starts with a vowel (A/E/I/O/U),Name has 7 or 8 letters,In Asia,1
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,In the Americas,3
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,Landlocked (no sea coastline),5
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,Island nation (no land borders),2
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,Borders one or two countries,6
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,Lies entirely south of the equator,4
Name starts with a vowel (A/E/I/O/U),Name has 7 to 9 letters,In Asia,2
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,In the Americas,2
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,Landlocked (no sea coastline),4
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,Island nation (no land borders),1
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,Borders one or two countries,5
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,Lies entirely south of the equator,2
Name starts with a vowel (A/E/I/O/U),Name has 7 letters or fewer,In Asia,6
Name contains the letter O,Name has 6 or 7 letters,In the Americas,3
Name contains the letter O,Name has 6 or 7 letters,Landlocked (no sea coastline),4
Name contains the letter O,Name has 6 or 7 letters,Island nation (no land borders),1
