Country,Continent,Landlocked,Neighbours,Equator,Southern,1.1 Name starts with a vowel (A/E/I/O/U),1.2 Name contains the letter O,1.3 Name ends in the letter A,1.4 Name starts with a letter A-G,1.5 Name contains the letter R,1.6 Name starts with a letter M-Z,2.1 Name has 6 or 7 letters,2.2 Name has 9 letters or more,2.3 Name has 8 or 9 letters,2.4 Name has 7 or 8 letters,2.5 Name has 7 to 9 letters,2.6 Name has 7 letters or fewer,3.1 In the Americas,3.2 Landlocked (no sea coastline),3.3 Island nation (no land borders),3.4 Borders one or two countries,3.5 Lies entirely south of the equator,3.6 In Asia
Algeria,AF,False,7,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,
Angola,AF,False,4,False,True,Y,Y,Y,Y,,,Y,,,,,Y,,,,,Y,
Benin,AF,False,4,False,False,,,,Y,,,,,,,,Y,,,,,,
Botswana,AF,True,4,False,True,,Y,Y,Y,,,,,Y,Y,Y,,,Y,,,Y,
Burkina Faso,AF,True,6,False,False,,Y,,Y,Y,,,Y,,,,,,Y,,,,
Burundi,AF,True,3,False,True,,,,Y,Y,,Y,,,Y,Y,Y,,Y,,,Y,
Cabo Verde,AF,False,0,False,False,,Y,,Y,Y,,,Y,Y,,Y,,,,Y,,,
Cameroon,AF,False,6,False,False,,Y,,Y,Y,,,,Y,Y,Y,,,,,,,
Central African Republic,AF,True,6,False,False,,,,Y,Y,,,Y,,,,,,Y,,,,
Chad,AF,True,6,False,False,,,,Y,,,,,,,,Y,,Y,,,,
Comoros,AF,False,0,False,True,,Y,,Y,Y,,Y,,,Y,Y,Y,,,Y,,Y,
Congo,AF,False,5,True,False,,Y,,Y,,,,,,,,Y,,,,,,
Cote d'Ivoire,AF,False,5,False,False,,Y,,Y,Y,,,Y,,,,,,,,,,
Democratic Republic of the Congo,AF,False,9,True,False,,Y,,Y,Y,,,Y,,,,,,,,,,
Djibouti,AF,False,3,False,False,,Y,,Y,,,,,Y,Y,Y,,,,,,,
Egypt,AF,False,3,False,False,Y,,,Y,,,,,,,,Y,,,,,,
Equatorial Guinea,AF,False,2,False,False,Y,Y,Y,Y,Y,,,Y,,,,,,,,Y,,
Eritrea,AF,False,3,False,False,Y,,Y,Y,Y,,Y,,,Y,Y,Y,,,,,,
Eswatini,AF,True,2,False,True,Y,,,Y,,,,,Y,Y,Y,,,Y,,Y,Y,
Ethiopia,AF,True,6,False,False,Y,Y,Y,Y,,,,,Y,Y,Y,,,Y,,,,
Gabon,AF,False,3,True,False,,Y,,Y,,,,,,,,Y,,,,,,
Gambia,AF,False,1,False,False,,,Y,Y,,,Y,,,,,Y,,,,Y,,
Ghana,AF,False,3,False,False,,,Y,Y,,,,,,,,Y,,,,,,
Guinea,AF,False,6,False,False,,,Y,Y,,,Y,,,,,Y,,,,,,
Guinea-Bissau,AF,False,2,False,False,,,,Y,,,,Y,,,,,,,,Y,,
Kenya,AF,False,5,True,False,,,Y,,,,,,,,,Y,,,,,,
Lesotho,AF,True,1,False,True,,Y,,,,,Y,,,Y,Y,Y,,Y,,Y,Y,
Liberia,AF,False,3,False,False,,,Y,,Y,,Y,,,Y,Y,Y,,,,,,
Libya,AF,False,6,False,False,,,Y,,,,,,,,,Y,,,,,,
Madagascar,AF,False,0,False,True,,,,,Y,Y,,Y,,,,,,,Y,,Y,
Malawi,AF,True,3,False,True,,,,,,Y,Y,,,,,Y,,Y,,,Y,
Mali,AF,True,7,False,False,,,,,,Y,,,,,,Y,,Y,,,,
Mauritania,AF,False,4,False,False,,,Y,,Y,Y,,Y,,,,,,,,,,
Mauritius,AF,False,0,False,True,,,,,Y,Y,,Y,Y,,Y,,,,Y,,Y,
Morocco,AF,False,2,False,False,,Y,,,Y,Y,Y,,,Y,Y,Y,,,,Y,,
Mozambique,AF,False,6,False,True,,Y,,,,Y,,Y,,,,,,,,,Y,
Namibia,AF,False,4,False,True,,,Y,,,Y,Y,,,Y,Y,Y,,,,,Y,
Niger,AF,True,7,False,False,,,,,Y,Y,,,,,,Y,,Y,,,,
Nigeria,AF,False,4,False,False,,,Y,,Y,Y,Y,,,Y,Y,Y,,,,,,
Rwanda,AF,True,4,False,True,,,Y,,Y,Y,Y,,,,,Y,,Y,,,Y,
Sao Tome and Principe,AF,False,0,True,False,,Y,,,Y,Y,,Y,,,,,,,Y,,,
