Country,Name has fewer than 8 letters,Name has more than 8 letters,Name starts with a vowel,Name ends in the letter A,Name contains the letter O,Name contains the letter R,Flag has 4 or more colours,Flag has green,Flag has yellow,Flag has a star,Flag has a coat of arms / emblem,Flag has no symbol (colours only),Crossed by a tropic line,Mainly arid climate,Has a major desert,"Has a peak above 4,000 m",Mainly tropical climate,Has active volcanoes
Algeria,Y,,Y,Y,,Y,,Y,,Y,,,Y,Y,Y,,,
Angola,Y,,Y,Y,Y,,,,Y,Y,,,,,Y,,Y,
Benin,Y,,,,,,,Y,Y,,,Y,,,,,Y,
Botswana,,,,Y,Y,,,,,,,Y,Y,Y,Y,,,
Burkina Faso,,Y,,,Y,Y,,Y,Y,Y,,,,Y,Y,,,
Burundi,Y,,,,,Y,,Y,,Y,,,,,,,Y,
Cabo Verde,,Y,,,Y,Y,Y,,Y,Y,,,,Y,,,,Y
Cameroon,,,,,Y,Y,,Y,Y,Y,,,,,,Y,Y,Y
Central African Republic,,Y,,,,Y,Y,Y,Y,Y,,,,,,,Y,
Chad,Y,,,,,,,,Y,,,Y,Y,Y,Y,,,
Comoros,Y,,,,Y,Y,Y,Y,Y,Y,,,,,,,Y,Y
Congo,Y,,,,Y,,,Y,Y,,,Y,,,,,Y,
Cote d'Ivoire,,Y,,,Y,Y,,Y,,,,Y,,,,,Y,
Democratic Republic of the Congo,,Y,,,Y,Y,,,Y,Y,,,,,,Y,Y,Y
Djibouti,,,,,Y,,Y,Y,,Y,,,,Y,Y,,,Y
Egypt,Y,,Y,,,,,,,,,,Y,Y,Y,,,
Equatorial Guinea,,Y,Y,Y,Y,Y,Y,Y,,,Y,,,,,,Y,Y
Eritrea,Y,,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,,Y
Eswatini,,,Y,,,,Y,,Y,,Y,,,,,,,
Ethiopia,,,Y,Y,Y,,Y,Y,Y,Y,,,,,Y,Y,,Y
Gabon,Y,,,,Y,,,Y,Y,,,Y,,,,,Y,
Gambia,Y,,,Y,,,Y,Y,,,,Y,,,,,Y,
Ghana,Y,,,Y,,,Y,Y,Y,Y,,,,,,,Y,
Guinea,Y,,,Y,,,,Y,Y,,,Y,,,,,Y,
Guinea-Bissau,,Y,,,,,Y,Y,Y,Y,,,,,,,Y,
Kenya,Y,,,Y,,,Y,Y,,,Y,,,,,Y,Y,
Lesotho,Y,,,,Y,,Y,Y,,,,Y,,,,,,
Liberia,Y,,,Y,,Y,,,,Y,,,,,,,Y,
Libya,Y,,,Y,,,Y,Y,,Y,,,Y,Y,Y,,,
Madagascar,,Y,,,,Y,,Y,,,,Y,Y,,,,Y,
Malawi,Y,,,,,,,Y,,,,,,,,,Y,
Mali,Y,,,,,,,Y,Y,,,Y,Y,Y,Y,,,
Mauritania,,Y,,Y,,Y,,Y,Y,Y,,,Y,Y,Y,,,
Mauritius,,Y,,,,Y,Y,Y,Y,,,Y,Y,,,,Y,
Morocco,Y,,,,Y,Y,,Y,,Y,,,,,Y,Y,,
Mozambique,,Y,,,Y,,Y,Y,Y,Y,,,Y,,,,Y,
Namibia,Y,,,Y,,,Y,Y,Y,,,,Y,Y,Y,,,
Niger,Y,,,,,Y,,Y,,,,,Y,Y,Y,,,
Nigeria,Y,,,Y,,Y,,Y,,,,Y,,,,,Y,
Rwanda,Y,,,Y,,Y,,Y,Y,,,,,,,Y,,Y
Sao Tome and Principe,,Y,,,Y,Y,Y,Y,Y,Y,,,,,,,Y,
Senegal,Y,,,,,,,Y,Y,Y,,,,Y,,,,
Seychelles,,Y,,,,,Y,Y,Y,,,Y,,,,,Y,
Sierra Leone,,Y,,,Y,Y,,Y,,,,Y,,,,,Y,
Somalia,Y,,,Y,Y,,,,,Y,,,,Y,,,,
South Africa,,Y,,Y,Y,Y,Y,Y,Y,,,Y,Y,,Y,,,
South Sudan,,Y,,,Y,,Y,Y,Y,Y,,,,,,,Y,
Sudan,Y,,,,,,Y,Y,,,,Y,,Y,Y,,,
Tanzania,,,,Y,,,Y,Y,Y,,,Y,,,,Y,Y,Y
Togo,Y,,,,Y,,Y,Y,Y,Y,,,,,,,Y,
Tunisia,Y,,,Y,,,,,,Y,,,,,Y,,,
Uganda,Y,,Y,Y,,,,,Y,,,,,,,Y,Y,
Zambia,Y,,,Y,,,Y,Y,,,,,Y,,,,Y,
Zimbabwe,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,
Afghanistan,,Y,Y,,,,Y,Y,,,Y,,,Y,Y,Y,,
Armenia,Y,,Y,Y,,Y,,,,,,Y,,,,Y,,
Azerbaijan,,Y,Y,,,Y,,Y,,Y,,,,,,Y,,Y
Bahrain,Y,,,,,Y,,,,,,Y,,Y,,,,
Bangladesh,,Y,,,,,,Y,,,,,Y,,,,Y,
Bhutan,Y,,,,,,,,Y,,,,,,,Y,,
Brunei,Y,,,,,Y,Y,,Y,,Y,,,,,,Y,
Cambodia,,,,Y,Y,,,,,,Y,,,,,,Y,
China,Y,,,Y,,,,,Y,Y,,,Y,,Y,Y,,
Cyprus,Y,,,,,Y,,,,,,,,,,,,
Georgia,Y,,,Y,Y,Y,,,,,,,,,,Y,,
India,Y,,Y,Y,,,Y,Y,,,,,Y,,Y,Y,Y,
Indonesia,,Y,Y,Y,Y,,,,,,,Y,,,,Y,Y,Y
Iran,Y,,Y,,,Y,,Y,,,Y,,,Y,Y,Y,,Y
Iraq,Y,,Y,,,Y,Y,Y,,,,Y,,Y,Y,,,
Israel,Y,,Y,,,Y,,,,Y,,,,,Y,,,
Japan,Y,,,,,,,,,,,,,,,,,Y
Jordan,Y,,,,Y,Y,Y,Y,,Y,,,,Y,Y,,,
Kazakhstan,,Y,,,,,,,Y,,,,,,Y,Y,,
Kuwait,Y,,,,,,Y,Y,,,,Y,,Y,Y,,,
Kyrgyzstan,,Y,,,,Y,,,Y,,,,,,,Y,,
Laos,Y,,,,Y,,,,,,,,,,,,Y,
