Country,Continent,Landlocked,Neighbours,Equator,Southern,[name-letters] Starts with a vowel,[name-letters] Ends in a vowel,[name-letters] Ends in a consonant,[name-letters] Ends in A,[name-letters] Ends in N,[name-letters] Ends in -IA,[name-letters] Ends in -LAND,[name-letters] Ends in -STAN,[name-letters] Has a double letter,[name-letters] Contains no A,[name-letters] Contains no E,[name-letters] Contains an O,[name-letters] Contains an R,[name-letters] Contains a Z,[name-letters] Uses all five vowels,[name-letters] Starts with A-G,[name-letters] Starts with M-Z,[name-structure] More than one word,[name-structure] Single word,[name-length] 4 letters or fewer,[name-length] 5 letters or fewer,[name-length] 6 letters or fewer,[name-length] 7 letters or fewer,[name-length] 5 or 6 letters,[name-length] 6 or 7 letters,[name-length] 7 or 8 letters,[name-length] 8 or 9 letters,[name-length] 8 letters or more,[name-length] 9 letters or more,[name-length] 10 letters or more,[name-length] 11 letters or more,[location] In Africa,[location] In Asia,[location] In Europe,[location] In the Americas,[location] In Oceania,[location] In Africa or the Americas,[location] In Europe or Asia,[location] Entirely south of equator,[location] Entirely north of equator,[location] Equator passes through it,[borders] Landlocked,[borders] Has a sea coastline,[borders] Island (no land borders),[borders] Has at least one land border,[borders] Borders exactly one country,[borders] Borders 1 or 2 countries,[borders] Borders 2 to 4 countries,[borders] Borders 3 or more countries,[borders] Borders 4 or more countries,[borders] Borders 5 or more countries,[size] Among the ~30 largest by area,[size] Among the ~30 smallest by area,[capital] Capital starts with a vowel,[capital] Capital has 5 letters or fewer,[capital] Capital has 9 letters or more,[capital] Capital is more than one word,[capital] Capital shares the country's name,[capital] Capital starts with same letter as country,[population] Population over 100 million,[population] Population over 50 million,[population] Population under 5 million,[population] Population under 1 million,[population] Among the 20 most populous,[area] Area over 1 million km2,"[area] Area under 50,000 km2",[area] Among the 30 largest by area,[area] Among the 30 smallest by area,[language] English is a main language,[language] French is a main language,[language] Spanish is a main language,[language] Arabic is a main language,[language] Portuguese is a main language,[currency] Uses the euro,[currency] Currency is a 'dollar',[currency] Currency is a 'franc',[currency] Currency is a 'pound',[currency] Currency is a 'peso'
Algeria,AF,False,7,False,False,Y,Y,,Y,,Y,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,Y,,,,,Y,,,,,,Y,,Y,,,,,Y,,,,,,
Angola,AF,False,4,False,True,Y,Y,,Y,,,,,,,Y,Y,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,Y,,,,,,,,,,,,,Y,,Y,,,,,,Y,,,,,
Benin,AF,False,4,False,False,,,Y,,Y,,,,,Y,,,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,Y,,
Botswana,AF,True,4,False,True,,Y,,Y,,,,,,,Y,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,
Burkina Faso,AF,True,6,False,False,,Y,,,,,,,,,Y,Y,Y,,,Y,,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,Y,,
Burundi,AF,True,3,False,True,,Y,,,,,,,,Y,Y,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,Y,,
Cabo Verde,AF,False,0,False,False,,Y,,,,,,,,,,Y,Y,,,Y,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,,Y,,,Y,Y,,,,,,,,,Y,,Y,,,,,,,Y,Y,,,Y,,Y,,,,,Y,,,,,
Cameroon,AF,False,6,False,False,,,Y,,Y,,,,Y,,,Y,Y,,,Y,,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,Y,,,,,,Y,,
Central African Republic,AF,True,6,False,False,,,Y,,,,,,,,,,Y,,,Y,,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,Y,,,,,,,,Y,,,,,,Y,,
Chad,AF,True,6,False,False,,,Y,,,,,,,,Y,,,,,Y,,,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,,Y,,Y,,,,Y,,
